SKN,Name,Lat_DD,Lon_DD,ElevFT,Observer,MinYear,MaxYear,NumMosWithAvg,JanAvgIN,FebAvgIN,MarAvgIN,AprAvgIN,MayAvgIN,JunAvgIN,JulAvgIN,AugAvgIN,SepAvgIN,OctAvgIN,NovAvgIN,DecAvgIN,AnnAvgIN,DataSources,StationStatus
1061.3,Field H-41,22.04850017,-159.4072025,504,LIHUE PLANTATION,1961,1983,4,6.946416467,-9999,9.155341435,-9999,7.402255337,6.566994554,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"NRFill, State",Discontinued
1062,Wailua Uka,22.02184711,-159.3988699,250,LIHUE PLANTATION,1924,1995,12,6.781333333,5.866666667,7.419666667,5.432666667,5.385666667,4.93,5.955333333,5.807,5.239,7.29,9.29,6.605333333,76.00266667,"Fill, State",Discontinued
1062.1,Lihue Vty Sta,22.02184468,-159.3833148,340,HSPA,1950,2000,10,6.603666667,4.651666667,-9999,5.338,5.008666667,4.443333333,5.392,5.207666667,4.839,6.627,8.348333333,-9999,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1062.3,Lihue Var Sta,22.03572299,-159.3758147,300,HSPA,1966,1983,11,6.287611479,4.665197319,-9999,4.612938633,5.285981464,4.533199256,5.703976973,5.910306508,4.904700521,7.398422748,8.104442836,5.928202859,-9999,"NRFill, State",Discontinued
1063.1,Mount Nondu,22.0537643,-159.3722033,350,SANCHES MRS MG,1915,1933,12,5.90083904,4.936360511,6.684256515,5.260813667,4.241152915,4.244774134,3.756298144,4.900158703,4.865758849,6.937062758,8.747394427,7.148706743,67.62357641,"NRFill, State",Discontinued
1064,Camp 9,22.00851623,-159.3722044,275,LIHUE PLANTATION,1924,1985,11,5.620333333,4.556666667,6.301333333,4.267666667,4.334333333,3.789,4.641,4.375,4.423,6.062333333,7.795333333,-9999,-9999,"Fill, State",Discontinued
1065,Wailua Kai,22.036817,-159.3405379,70,LIHUE PLANTATION,1924,2000,12,4.773666667,3.624666667,4.89358541,3.134666667,3.388075603,3.071,3.188333333,3.056,2.58,5.517,7.224333333,5.160666667,49.61199435,"Fill, NCDC, NRFill, State, State/NCDC",Discontinued
1066,Field Makee 3c,22.06678006,-159.3255377,10,LIHUE PLANTATION,1934,1969,11,4.763,3.433,4.442666667,3.103333333,2.973,2.727666667,4.364,2.336,2.311333333,4.471,5.708666667,-9999,-9999,"Fill, State",Discontinued
1067,Lot 143,22.07514322,-159.3922024,340,LIHUE PLANTATION,1941,1979,3,-9999,5.261666667,-9999,-9999,-9999,4.429666667,4.771,-9999,-9999,-9999,-9999,-9999,-9999,"Fill, State",Discontinued
1070,Fld 130,22.08519629,-159.7505409,10,KEKAHA SUGAR,1946,1982,8,3.549333333,-9999,-9999,-9999,1.204,0.495666667,-9999,0.754,0.748666667,2.925666667,2.611,3.435666667,-9999,"Fill, NRFill, State",Discontinued
1070.1,Polihale,22.09686325,-159.7299845,1675,DLNR,1963,1984,12,4.82668995,3.432854588,3.75417034,1.529637312,1.85085592,0.811167437,1.009691739,1.238548963,1.73510127,3.010173857,3.36372638,4.638584548,31.2012023,"NRFill, State",Discontinued
1071,Makaha,22.125708,-159.715537,2030,DLNR,1948,1983,8,-9999,4.563666667,3.792,2.062,1.661,0.837666667,-9999,1.162666667,-9999,2.420666667,-9999,3.917666667,-9999,"Fill, State",Discontinued
1072,Puu Hinahina,22.09852901,-159.6788719,3435,DIV OF FTRY,1930,1963,12,7.038333333,5.555666667,5.131,2.261,2.351128373,0.482666667,1.428,1.789,2.218666667,4.174333333,5.303333333,5.792333333,43.52546171,"Fill, NRFill, State",Discontinued
1072.3,Puu Lua Res,22.09214019,-159.6769279,3250,KEKAHA SUGAR,1965,1993,11,7.171333333,5.407333333,5.227333333,2.357,2.022666667,1.257673089,1.272666667,1.631333333,1.687,3.743333333,5.07017579,-9999,-9999,"Fill, NRFill, State",Discontinued
1072.4,Kaaweiki,22.10352935,-159.6916499,2880,DLNR,1963,1983,12,6.518204515,4.637376377,4.524263154,2.195922842,1.964930392,1.220649155,1.115801443,1.379708523,1.528466588,3.24261978,3.91877134,5.670242319,37.91695643,"NRFill, State",Discontinued
1073,Makaha Ridge,22.13296912,-159.7260942,1580,KENTRON HAWAII,1968,1984,9,6.003560036,4.642493793,4.750742889,2.454327054,1.373376749,1.352036561,0.949682073,1.116821344,1.778597715,-9999,-9999,-9999,-9999,"NRFill, State",Discontinued
1075,Kanalohuluhulu,22.13018715,-159.6588699,3600,BD OF AGR&FTRY,1931,Present,12,9.679666667,7.786,7.416666667,4.036333333,3.240333333,2.016333333,1.968666667,2.369666667,2.201034483,4.998333333,7.306333333,8.704333333,61.72370115,"Fill, NCDC, State, State/NCDC",Current
1076,Kokee*,22.14,-159.64,4197,Hydronet,1991,Present,10,9.823805321,8.098921082,8.752379553,5.513592217,4.286205615,2.62285445,3.275294323,-9999,-9999,5.15357002,8.155257532,10.34240413,-9999,"Hydronet, NRFill",Current
1080,Paukahana,22.13489748,-159.6260913,3700,USGS,2001,2006,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.704093098,-9999,-9999,"NRFill, USGS",Discontinued
1082,Waiakoali Camp,22.1245,-159.6220833,3420,USGS,2001,Present,7,-9999,-9999,-9999,5.41255966,4.996493657,3.138015273,3.202245416,2.581351832,3.756138379,-9999,8.588227661,-9999,-9999,"NRFill, USGS",Current
1083,Mohihi Up Crsg,22.11708333,-159.6009722,3420,USGS,1968,Present,3,-9999,-9999,-9999,-9999,-9999,3.657274858,-9999,-9999,-9999,6.085301965,9.297742078,-9999,-9999,"NCDC, NRFill, USGS, USGS/NCDC",Current
1084,Kilohana Alakai,22.15408333,-159.5946111,4000,USGS,1995,Present,12,15.59085899,14.31350581,18.69311293,20.34333569,12.40479178,12.9675087,11.53908842,9.997648358,9.532920401,11.05565234,19.65604003,16.07790932,172.1723728,"NRFill, USGS",Current
1086,Wainiha Pow Int,22.14847963,-159.5672012,700,MCBRYDE SUGAR,1907,1968*,9,-9999,-9999,16.45266667,14.57966667,-9999,7.859,10.035,9.573827993,9.279,10.16066667,18.61,18.70466667,-9999,"Fill, NCDC, NRFill, State, State/NCDC",Discontinued
1092,Kaneha Res,22.13146605,-159.3722023,845,LIHUE PLANTATION,1947,2000,10,8.997,7.789,9.531333333,7.812,-9999,5.566666667,6.905161749,6.564666667,5.807666667,-9999,11.584,9.303,-9999,"Fill, NCDC, NRFill, State, State/NCDC",Discontinued
1092.3,Kaneha Res (800),22.12786006,-159.373869,800,LIHUE PLANTATION,1915,1946,7,8.092333333,-9999,10.41733333,6.833666667,5.904,-9999,-9999,-9999,6.374666667,7.987,-9999,9.494666667,-9999,"Fill, State",Discontinued
1094.1,EKW3,22.09011798,-159.3672028,350,LIHUE PLANTATION,1949,1986,10,6.666333333,5.144,8.108,5.850333333,5.130333333,4.302333333,4.763666667,4.528,4.360666667,-9999,8.291,-9999,-9999,"Fill, State",Discontinued
1094.2,Kapahi*,22.1,-159.38,520,Hydronet,1992,Present,12,7.233559397,6.996555997,8.099640077,6.926934127,6.596035751,5.258050435,6.129752524,5.326724505,5.320308794,8.106142179,9.69398661,8.580837246,84.26852764,"Hydronet, NRFill",Current
1095,Mimino,22.10841854,-159.3455365,280,LIHUE PLANTATION,1934,1988,11,6.194666667,6.012666667,5.876333333,4.990333333,4.723,3.397,4.332666667,3.917333333,3.956666667,5.823666667,8.505,-9999,-9999,"Fill, State",Discontinued
1097,EKW 4,22.08178786,-159.3588699,335,LIHUE PLANTATION,1932,1986,12,5.821333333,4.347666667,6.09,4.306666667,4.041,3.545,3.773666667,3.615666667,3.726333333,6.513,7.984,5.727,59.49133333,"Fill, State",Discontinued
1100,Kapahi,22.09953145,-159.3349814,240,HAWN FRUIT PACKER,1948,1973,10,-9999,4.364371461,5.45547069,3.808499805,3.218826204,2.579410733,3.151861487,3.057444347,3.632437547,5.571336686,-9999,6.107220823,-9999,"NRFill, State",Discontinued
1101.1,Spalding Monu,22.12255786,-159.3308146,410,LIHUE PLANTATION,1969,1993,9,-9999,4.722710903,-9999,4.009766674,4.316391395,-9999,3.016719669,3.075616973,3.229673661,5.387192185,7.502357658,5.899007238,-9999,"NRFill, State",Discontinued
1102,Field Makee 2b,22.12340532,-159.3505362,613,LIHUE PLANTATION,1921,1991,12,7.125666667,6.463666667,7.668,5.138,4.879,3.84,4.694666667,4.810333333,4.277,6.54,8.923,5.864666667,70.224,"Fill, State",Discontinued
1102.1,Fld Lihue 3,22.1250533,-159.3288702,400,HAWN CANNERIES,1949,1962,9,5.912202147,4.806463162,5.853618966,-9999,4.329408028,2.59098141,3.14990025,2.931093888,3.080952422,-9999,7.604275777,-9999,-9999,"NRFill, State",Discontinued
1104,Kapaa Stables,22.08177006,-159.332204,175,LIHUE PLANTATION,1940,1984,11,5.024333333,4.13,4.676666667,3.649,-9999,2.655,2.720666667,2.789666667,2.395333333,5.494333333,6.922,5.179333333,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1104.1,Sta 35 (Station 35),22.07844384,-159.3372039,80,LIHUE PLANTATION,1917,1940,7,-9999,-9999,-9999,3.276333333,-9999,2.486666667,2.438333333,2.834666667,3.279666667,-9999,6.870333333,5.261,-9999,"Fill, State",Discontinued
1104.2,M 19,22.07261625,-159.3369262,80,LIHUE PLANTATION,1959,1995,11,5.322333333,4.172666667,5.260666667,3.213333333,3.267333333,2.503333333,3.007333333,2.931333333,2.771666667,5.338,-9999,4.943333333,-9999,"Fill, State",Discontinued
1107,EKW 1 (120),22.08675145,-159.3155377,120,LIHUE PLANTATION,1932,1963,12,4.615333333,3.532666667,4.382,3.346333333,2.115,1.899,2.027666667,2.432333333,1.913666667,4.189333333,5.756,4.249333333,40.45866667,"Fill, State",Discontinued
1107.2,E Kauai Water 2,22.09397345,-159.3238707,190,LIHUE PLANTATION,1932,1947,7,5.126595267,4.327684312,5.267794845,-9999,-9999,-9999,-9999,2.664951731,2.471439917,-9999,6.863006781,5.030922866,-9999,"NRFill, State",Discontinued
1110,M 8,22.11505514,-159.317204,255,LIHUE PLANTATION,1944*,2000,10,5.212,3.610333333,5.743666667,3.664666667,3.809333333,2.063333333,2.54,2.714666667,2.458333333,-9999,-9999,5.368,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1111,Anahola,22.14335296,-159.3155371,40,LIHUE PLANTATION,1930,1975,12,5.519,3.880333333,4.851666667,3.192666667,3.48,1.879666667,2.330333333,2.174333333,2.281596716,5.468333333,6.27,5.241,46.56893005,"Fill, NRFill, State",Discontinued
1111.2,Mol 18,22.16333171,-159.3205368,150,LIHUE PLANTATION,1950,1968,12,4.645835866,3.976395057,4.901476605,3.180693783,3.708461897,1.894116392,2.31673065,2.061053509,2.498300856,5.051120415,5.689727241,4.556932272,44.48084454,"NRFill, State",Discontinued
1112,Kealia,22.09950672,-159.3055378,10,LIHUE PLANTATION,1899,1986,8,-9999,-9999,-9999,2.688333333,3.044333333,1.849333333,2.080333333,2.557,-9999,4.640666667,6.124333333,5.283,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1113,M9,22.11005029,-159.3055377,150,LIHUE PLANTATION,1941,1984,12,3.657333333,3.358666667,4.561333333,3.344,3.094333333,1.750333333,1.783333333,2.332333333,2.060666667,4.256333333,6.044,4.628333333,40.871,"Fill, State",Discontinued
1114,M 14a,22.13418691,-159.3038709,180,LIHUE PLANTATION,1930,2000,12,4.906666667,3.433,5.226,3.317666667,3.573666667,1.858,2.273666667,2.437,2.419,4.543666667,6.273333333,5.588666667,45.85033333,"Fill, NCDC, State, State/NCDC",Discontinued
1115,Pow Hse Wainiha,22.1917646,-159.5555341,100,MCBRYDE SUGAR,1908,Present,12,10.38666667,8.652333333,11.92866667,12.49866667,7.430523833,7.30862731,8.236333333,7.827333333,6.688333333,7.213,11.19103281,8.740666667,108.102184,"Fill, NCDC, NRFill, State, State/NCDC",Current
1117,Princeville Rch,22.213196,-159.4722008,295,PRINCEVILLE RANCH,1930*,Present,11,6.966333333,6.543448276,7.032,6.161,-9999,4.918666667,5.931666667,6.080333333,5.746333333,6.531333333,9.309666667,7.794,-9999,"Fill, NCDC, State, State/NCDC",Current
1117.5,Hanalei,22.21224881,-159.4588676,250,HAWN CANNERIES,1929,1939,2,-9999,-9999,-9999,5.912619186,-9999,-9999,5.875117027,-9999,-9999,-9999,-9999,-9999,-9999,"NRFill, State",Discontinued
1117.8,Hanalei*,22.19,-159.49,16,Hydronet,1991,Present,11,8.455226283,7.99498372,7.682820716,9.553891378,-9999,5.27279832,7.859772935,7.596936705,7.119433396,6.619755737,9.65428103,9.349123115,-9999,"Hydronet, NRFill",Current
1118,Makai Fld 16,22.22169532,-159.4874786,170,PRINCEVILLE RANCH,1963,1981,12,5.438654784,5.51284956,6.754271602,5.002592631,5.517740461,4.545319837,6.113765276,5.24840034,5.500076108,5.702340208,8.908549303,7.070854956,71.31541507,"NRFill, State",Discontinued
1131,Kalihiwai Res,22.18615576,-159.4288679,400,KILAUEA SUGAR,1931,1970,10,7.747,7.499,8.111666667,6.986,7.840666667,6.370333333,7.064,7.043333333,6.923666667,7.965333333,-9999,-9999,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1131.1,Kapaka,22.17673899,-159.4588675,635,MCBRYDE SUGAR,1911,1945,7,-9999,-9999,11.30933333,9.654666667,8.574666667,-9999,-9999,9.784666667,9.149631861,10.22466667,12.72866667,-9999,-9999,"Fill, NCDC, NRFill",Discontinued
1132.2,Hwy Fld 41,22.21473095,-159.4333123,140,PRINCEVILLE RANCH,1963,1976,10,6.031205003,-9999,6.393905318,5.008216257,5.403660183,4.612546981,4.941362109,4.552824247,4.952044059,5.567253116,-9999,6.684737818,-9999,"NRFill, State",Discontinued
1133,Kilauea Point,22.23135314,-159.4013684,180,USCG,1949,1985,12,4.543,5.871666667,4.944,3.169,3.288,2.104,3.037333333,3.081333333,3.705825409,4.942666667,6.906333333,4.758666667,50.35182541,"Fill, NCDC, NRFill, State, State/NCDC",Discontinued
1134,Kilauea,22.21194093,-159.4072015,315,RAPOZO N,1885,Present,9,5.799,6.642758621,-9999,4.404137931,5.190714286,3.734074074,4.678,4.593,4.421785714,-9999,8.355333333,-9999,-9999,"Fill, NCDC, State, State/NCDC",Current
1135,Kilauea Fld 17,22.18502918,-159.4005349,415,KILAUEA SUGAR,1930,1972,11,7.199,-9999,7.074333333,6.052333333,6.307,5.276,6.110666667,5.683333333,6.210333333,7.336,10.925,9.102333333,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1136,Field 23,22.19944652,-159.3888685,350,KILAUEA SUGAR,1937,1969,11,5.522,5.709666667,6.630333333,3.962666667,-9999,3.800333333,4.236,4.148,4.159,5.912666667,7.564333333,6.595666667,-9999,"Fill, State",Discontinued
1137,Koloko Res,22.18140774,-159.3777576,735,KILAUEA SUGAR,1934,Present,12,6.858,6.570666667,7.766,5.529666667,6.079,4.588333333,5.406333333,5.340666667,5.019333333,7.228333333,9.874333333,8.199,78.45966667,"Fill, NCDC, State, State/NCDC",Current
1140,Field 27 (300),22.20221107,-159.3755354,300,KILAUEA SUGAR,1936,1951,9,-9999,-9999,6.440422514,-9999,5.006823983,3.778540261,4.107617786,3.982106005,4.031951197,5.848845439,7.499242352,6.463973802,-9999,"NRFill, State",Discontinued
1141,Field 36,22.19443816,-159.3672022,365,KILAUEA SUGAR,1937,1969,12,5.238333333,4.799666667,5.409333333,3.736333333,4.348666667,3.033,3.391333333,3.227,3.437333333,4.969,6.924333333,6.207,54.72133333,"Fill, State",Discontinued
1142,Camp 1,22.1777722,-159.3388696,275,HAWN CANNERIES,1937,1962,12,5.68,5.045,6.160333333,3.768666667,4.385,2.180666667,3.092666667,2.964,2.894,5.367666667,6.890333333,5.845,54.27333333,"Fill, State",Discontinued
1143,Field 30,22.20218961,-159.3472027,230,KILAUEA SUGAR,1937,1970,12,5.156666667,4.447666667,4.689666667,3.671333333,4.308666667,2.487333333,2.663,2.782666667,2.848,4.83,5.682,4.798666667,48.36566667,"Fill, State",Discontinued
1144,Field 7-A,22.18607715,-159.3188701,200,LIHUE PLANTATION,1936,1968,11,5.419666667,4.272666667,4.973,3.190666667,3.593333333,1.895,2.243666667,2.348,2.341333333,-9999,5.732666667,5.104,-9999,"Fill, State",Discontinued
1145,Puu Auau,22.18275978,-159.3322031,330,LIHUE PLANTATION,1926,Present,12,4.752666667,5.048333333,4.973666667,3.572333333,3.923666667,2.032,2.742666667,2.193666667,2.55,5.129666667,5.435,4.61,46.96366667,"Fill, NCDC, State, State/NCDC",Current
